               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.040912,            0.054115,           0.0052394,             0.72183,             0.75344,             0.72711,             0.37531,            0.043652,            0.068566,             0.01214,            0.008812,            0.008812,            0.008812
                  38,            0.038015,            0.051719,           0.0068006,              0.7366,             0.70931,             0.69247,             0.34965,            0.045331,            0.069374,            0.012236,            0.008779,            0.008779,            0.008779
                  39,            0.036947,            0.054955,           0.0044471,             0.71096,             0.69576,             0.68241,             0.33536,            0.045159,            0.071402,            0.013741,            0.008746,            0.008746,            0.008746
                  40,            0.040378,             0.05667,           0.0053028,              0.7835,             0.67741,             0.69251,             0.34887,            0.043501,            0.067142,            0.013094,            0.008713,            0.008713,            0.008713
                  41,            0.039809,            0.052192,           0.0040846,             0.71528,             0.66992,             0.66944,             0.32131,            0.046122,            0.068251,            0.013026,             0.00868,             0.00868,             0.00868
                  42,            0.039292,            0.048929,           0.0063254,              0.6719,             0.77602,              0.7258,             0.36211,            0.042547,            0.066423,            0.014873,            0.008647,            0.008647,            0.008647
                  43,            0.036781,            0.047888,           0.0050123,             0.64881,             0.70795,             0.66209,             0.34194,            0.043035,            0.067027,            0.016036,            0.008614,            0.008614,            0.008614
                  44,            0.034552,            0.053684,            0.004391,              0.7062,             0.68935,             0.68238,             0.32741,            0.044415,            0.068151,            0.013567,            0.008581,            0.008581,            0.008581
                  45,            0.039747,             0.04935,           0.0054366,             0.77444,             0.71646,              0.7085,             0.36925,            0.042781,            0.067309,            0.012017,            0.008548,            0.008548,            0.008548
                  46,            0.038403,            0.053805,           0.0034877,             0.78584,             0.74515,             0.72313,             0.38004,            0.042973,            0.066007,            0.011782,            0.008515,            0.008515,            0.008515
                  47,            0.037343,            0.047555,           0.0036177,             0.73969,             0.73652,             0.70628,             0.34585,            0.046495,            0.067405,            0.011597,            0.008482,            0.008482,            0.008482
                  48,            0.040093,            0.052851,           0.0057327,             0.69866,             0.69955,             0.66333,             0.34097,            0.046259,            0.066145,            0.013084,            0.008449,            0.008449,            0.008449
                  49,            0.037013,            0.056501,           0.0047341,             0.71227,             0.76102,             0.69109,              0.3429,            0.044536,            0.066166,            0.014345,            0.008416,            0.008416,            0.008416
                  50,            0.036068,            0.051836,           0.0054078,              0.7799,             0.76764,             0.72392,             0.35811,            0.043137,            0.066653,            0.012458,            0.008383,            0.008383,            0.008383
                  51,            0.035462,            0.052098,           0.0039056,             0.75034,             0.75288,             0.69807,             0.33224,            0.045244,            0.068449,            0.011994,             0.00835,             0.00835,             0.00835
                  52,            0.034987,             0.05207,           0.0041683,             0.78841,             0.76806,             0.74313,             0.35408,            0.044585,             0.06963,             0.01096,            0.008317,            0.008317,            0.008317
                  53,            0.036523,            0.050677,           0.0041979,             0.79248,             0.77708,             0.75156,             0.35775,            0.044834,            0.073625,            0.010603,            0.008284,            0.008284,            0.008284
                  54,            0.036666,            0.053718,            0.004439,             0.79475,             0.76407,             0.75187,             0.35931,            0.044287,            0.072753,            0.010369,            0.008251,            0.008251,            0.008251
                  55,            0.037073,            0.050419,           0.0043135,               0.779,             0.75878,             0.75416,             0.35072,            0.047687,            0.070509,            0.010009,            0.008218,            0.008218,            0.008218
                  56,            0.038959,            0.051289,           0.0034643,             0.74482,             0.76346,              0.7283,             0.35186,            0.045497,             0.07219,           0.0098593,            0.008185,            0.008185,            0.008185
                  57,            0.036353,            0.051637,           0.0034522,             0.84285,             0.75629,             0.78457,             0.36633,              0.0462,            0.070914,           0.0097924,            0.008152,            0.008152,            0.008152
                  58,            0.034936,            0.047095,           0.0053689,             0.82598,             0.76691,             0.78756,             0.38452,            0.045033,            0.072094,            0.010098,            0.008119,            0.008119,            0.008119
                  59,            0.035618,            0.050819,           0.0042938,             0.77028,             0.71356,             0.70233,             0.34168,             0.04903,            0.073167,            0.010818,            0.008086,            0.008086,            0.008086
                  60,            0.037134,            0.050465,           0.0056134,             0.78004,             0.72927,             0.72209,             0.35895,            0.046597,            0.072819,            0.010953,            0.008053,            0.008053,            0.008053
                  61,            0.036942,             0.05162,            0.003959,              0.8257,             0.73668,             0.78022,             0.39653,            0.044699,            0.071954,            0.010267,             0.00802,             0.00802,             0.00802
                  62,            0.034943,            0.052004,           0.0035719,             0.83549,             0.73051,             0.76656,             0.37923,            0.044672,            0.071244,           0.0097357,            0.007987,            0.007987,            0.007987
                  63,            0.032627,            0.050815,           0.0030988,             0.82498,             0.76049,             0.77882,             0.37905,            0.045469,            0.071171,           0.0095957,            0.007954,            0.007954,            0.007954
                  64,            0.035186,             0.04965,           0.0033971,             0.81742,             0.70227,             0.78078,             0.36438,            0.047068,            0.072436,            0.010033,            0.007921,            0.007921,            0.007921
                  65,            0.033491,            0.051261,           0.0039098,              0.7803,             0.75104,             0.76949,             0.38106,            0.045238,            0.073785,            0.010076,            0.007888,            0.007888,            0.007888
                  66,             0.03398,            0.048423,           0.0036255,              0.8688,             0.77336,             0.81016,               0.381,            0.044027,            0.073089,           0.0097818,            0.007855,            0.007855,            0.007855
                  67,            0.032512,            0.047181,            0.002572,             0.86379,             0.75957,             0.79708,             0.37547,            0.044306,            0.072805,           0.0096176,            0.007822,            0.007822,            0.007822
                  68,            0.033504,            0.049482,           0.0037655,             0.82527,             0.78496,             0.78257,             0.36489,            0.046145,            0.072312,           0.0097048,            0.007789,            0.007789,            0.007789
                  69,            0.035378,            0.052518,           0.0037013,             0.80682,             0.79184,             0.77796,             0.37423,            0.044047,            0.071171,            0.010427,            0.007756,            0.007756,            0.007756
                  70,             0.03462,            0.048289,           0.0029697,             0.84426,             0.77774,             0.79655,             0.38969,            0.044533,            0.070286,            0.010617,            0.007723,            0.007723,            0.007723
                  71,            0.032465,             0.05185,           0.0034289,             0.78471,             0.75597,             0.75507,             0.37474,            0.045526,            0.071138,            0.011025,             0.00769,             0.00769,             0.00769
                  72,            0.035409,            0.056677,           0.0034827,             0.76389,             0.76842,             0.73715,             0.35334,             0.04595,            0.071513,            0.011554,            0.007657,            0.007657,            0.007657
                  73,            0.033077,            0.049682,           0.0030375,             0.79864,             0.79435,             0.76911,             0.37972,            0.044553,            0.072181,            0.010815,            0.007624,            0.007624,            0.007624
